date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-14,0,0,0,0,0,0,21,0,18,6,2,1,0,1,0,0,0
2010-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-16,0,0,0,0,0,0,6,7,11,2,3,0,0,1,1,0,0
2010-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-18,0,0,0,0,0,0,0,1,16,12,2,0,0,0,0,0,0
2010-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-21,0,0,0,0,0,0,0,14,14,10,2,0,0,1,0,0,0
2010-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-23,0,0,0,0,7,5,5,2,3,1,0,0,0,0,0,0,0
2010-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-25,0,0,0,0,0,18,0,2,12,4,1,0,0,0,0,0,0
2010-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-28,0,0,0,0,0,4,14,11,13,1,0,1,0,0,0,0,0
2010-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-30,0,0,0,0,0,5,0,0,2,16,7,9,3,12,4,0,2
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-02,0,0,0,0,0,2,0,21,15,5,0,0,0,9,0,3,1
2010-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-05,0,0,0,0,0,19,6,0,4,0,0,0,0,1,0,0,0
2010-10-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-07,0,0,0,0,0,0,0,0,27,13,1,0,0,4,0,0,0
2010-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-09,0,0,0,0,0,0,20,4,4,20,0,0,0,1,0,0,0
2010-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-12,0,0,0,0,0,0,0,0,39,13,3,0,2,19,1,0,4
2010-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-14,0,0,0,0,0,0,11,5,9,7,0,0,0,3,0,0,0
2010-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-16,0,0,0,0,13,0,11,0,19,8,0,0,0,10,2,3,0
2010-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-19,0,0,0,0,0,0,8,6,14,6,0,0,0,2,0,0,0
2010-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-21,0,0,0,0,0,0,10,6,19,3,0,0,0,2,0,0,0
2010-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-23,0,0,0,0,0,2,6,2,23,9,0,2,0,3,0,0,1
2010-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-26,0,0,0,0,11,0,3,10,5,2,1,2,0,0,2,0,0
2010-10-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-28,0,0,0,0,10,0,8,6,5,2,1,0,0,2,0,0,0
2010-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-30,0,0,0,0,0,5,4,7,7,0,4,0,0,0,0,0,0
2010-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-02,0,0,0,0,0,2,10,6,3,0,5,0,0,0,0,0,0
