date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-07-13,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0
2010-07-14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
2010-07-15,0,0,0,0,0,3,0,0,0,0,0,0,0,3,21,0,0
2010-07-16,0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0
2010-07-17,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0,0,0
2010-07-18,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0
2010-07-19,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0
2010-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
2010-07-21,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0
2010-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-23,0,0,0,0,0,7,0,0,0,0,0,0,0,7,21,0,0
2010-07-24,0,0,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-25,0,0,0,0,0,3,0,0,0,0,0,0,0,1,26,0,0
2010-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2010-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2010-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
2010-07-29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19,0,0
2010-07-30,0,0,0,0,0,4,0,0,0,0,0,0,0,5,31,0,0
2010-07-31,0,0,0,0,5,0,0,0,0,0,0,0,0,33,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0
2010-08-02,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,0,0
2010-08-03,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,0,0
2010-08-04,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,0
2010-08-05,0,0,0,0,5,0,0,0,0,0,0,0,0,29,0,0,0
2010-08-06,0,0,0,0,0,3,0,0,0,0,0,0,0,3,18,0,0
2010-08-07,0,0,0,0,2,0,0,0,0,0,4,0,0,37,0,0,0
2010-08-08,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0
2010-08-09,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0
2010-08-10,0,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0,0
2010-08-11,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0
2010-08-12,0,0,0,0,0,3,0,0,0,0,0,0,0,2,16,0,0
2010-08-13,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0
2010-08-14,0,0,0,0,0,3,0,0,0,0,0,0,0,6,21,0,0
2010-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
2010-08-16,0,0,0,0,0,3,0,0,0,0,0,0,0,2,18,0,0
2010-08-17,0,0,0,0,3,0,0,0,0,0,0,0,0,31,0,0,0
2010-08-18,0,0,0,0,2,0,0,0,0,0,0,0,0,43,0,0,0
2010-08-19,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0
2010-08-20,0,0,0,0,0,4,0,0,0,0,0,0,0,4,12,0,0
2010-08-21,0,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,0
2010-08-22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0
2010-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-25,0,0,0,0,3,0,0,0,0,0,0,0,0,23,0,0,0
2010-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2010-08-27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0
2010-08-28,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0
2010-08-29,0,0,0,0,0,2,0,0,0,0,0,0,0,3,17,0,0
